classid,moodleclass
2022T1E!$688!$E!$EHSS-1B!$VB-1A,EHSS-01-2D-2022T1E
2022T1E!$688!$E!$EHSS-2A!$PRO-1B,EHSS-02-PRO-2022T1E
2022T1E!$688!$E!$EHSS-2A!$VB-1B,EHSS-02-2D-2022T1E
2022T1E!$688!$E!$EHSS-2B!$PRO-1B,EHSS-02-PRO-2022T1E
2022T1E!$688!$E!$EHSS-2B!$VB-1B,EHSS-02-2D-2022T1E
2022T1E!$688!$E!$EHSS-3A!$PRO-2A,EHSS-03-PRO-2022T1E
2022T1E!$688!$E!$EHSS-3A!$V-2A,EHSS-03-VEN-2022T1E
2022T1E!$688!$E!$EHSS-3B!$PRO-2A,EHSS-03-PRO-2022T1E
2022T1E!$688!$E!$EHSS-3B!$V-2A,EHSS-03-VEN-2022T1E
2022T1E!$688!$E!$EHSS-4A!$PRO-2B,EHSS-04-PRO-2022T1E
2022T1E!$688!$E!$EHSS-4A!$V-2B,EHSS-04-VEN-2022T1E
2022T1E!$688!$E!$EHSS-4B!$PRO-2B,EHSS-04-PRO-2022T1E
2022T1E!$688!$E!$EHSS-4B!$V-2B,EHSS-04-VEN-2022T1E
2022T1E!$688!$E!$EHSS-5!$PRO-3A,EHSS-05-PRO-2022T1E
2022T1E!$688!$E!$EHSS-5!$V-3A,EHSS-05-VEN-2022T1E
2022T1E!$688!$E!$EHSS-6!$PRO-3B,EHSS-06-PRO-2022T1E
2022T1E!$688!$E!$EHSS-6!$V-3B,EHSS-06-VEN-2022T1E
2022T1E!$688!$E!$EHSS-7!$RE-02,EHSS-07-R-2022T1E
2022T1E!$688!$E!$EHSS-7!$V-4A,EHSS-07-VEN-2022T1E
2022T1E!$688!$E!$EHSS-8!$RE-02,EHSS-08-R-2022T1E
2022T1E!$688!$E!$EHSS-8!$V-4B,EHSS-08-VEN-2022T1E
2022T1E!$688!$E!$EHSS-9!$RE-03,EHSS-09-R-2022T1E
2022T1E!$688!$E!$EHSS-9!$V-5A,EHSS-09-3D-2022T1E
2022T1T1E!$582!$E!$BEGINNER/E!$BP-2,IEAP-BG-2022T1T1E
2022T1T1E!$582!$E!$BEGINNER/E!$RE-FOUND,IEAP-BW-2022T1T1E
2022T1T1E!$582!$E!$IEAP-1A!$IEAP-1-WR,IEAP-1W-2022T1T1E
2022T1T1E!$582!$E!$IEAP-1A!$INTER-1,IEAP-1G-2022T1T1E
2022T1T1E!$582!$E!$IEAP-1B!$IEAP-1-WR,IEAP-1W-2022T1T1E
2022T1T1E!$582!$E!$IEAP-1B!$INTER-1,IEAP-1G-2022T1T1E
2022T1T1E!$582!$E!$IEAP-2E!$IEAP-2-WR,IEAP-2W-2022T1T1E
2022T1T1E!$582!$E!$IEAP-2E!$INTER-2,IEAP-2G-2022T1T1E
2022T1T1E!$582!$E!$IEAP-3E!$IEAP-3-WR,IEAP-3W-2022T1T1E
